Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
Vac. direct capture Pellet,Influenza PR8,148.2,R1,VDCP,148.2,Spike-in
Vac. direct capture Pellet,HPV-E1,76.52,R1,VDCP,76.52,Endogenous
Vac. direct capture Pellet,Adenovirus,3.895,R1,VDCP,3.895,Endogenous
Vac. direct capture Pellet,RotavirusA,0.16,R1,VDCP,0.16,Endogenous
Vac. direct capture Pellet,Astrovirus,40.98,R2,VDCP,40.98,Endogenous
Vac. direct capture Pellet,LCMV,5.164,R2,VDCP,5.164,Spike-in
Vac. direct capture Pellet,MS2,55.56,R2,VDCP,55.56,Spike-in
Vac. direct capture Pellet,PhiX174,10.29,R2,VDCP,10.29,Spike-in
Vac. direct capture Pellet,Vaccinia,0,R2,VDCP,0,Spike-in
Vac. direct capture Pellet,Influenza PR8,136.9,R2,VDCP,136.9,Spike-in
Vac. direct capture Pellet,HPV-E1,87.87,R2,VDCP,87.87,Endogenous
Vac. direct capture Pellet,Adenovirus,5.65,R2,VDCP,5.65,Endogenous
Vac. direct capture Pellet,RotavirusA,0.59,R2,VDCP,0.59,Endogenous
Vac. direct capture Pellet,Astrovirus,33.62,R3,VDCP,33.62,Endogenous
Vac. direct capture Pellet,LCMV,5.035,R3,VDCP,5.035,Spike-in
Vac. direct capture Pellet,MS2,57.11,R3,VDCP,57.11,Spike-in
Vac. direct capture Pellet,PhiX174,10.42,R3,VDCP,10.42,Spike-in
Vac. direct capture Pellet,Vaccinia,2.891,R3,VDCP,2.891,Spike-in
Vac. direct capture Pellet,Influenza PR8,157,R3,VDCP,157,Spike-in
Vac. direct capture Pellet,HPV-E1,90.02,R3,VDCP,90.02,Endogenous
Vac. direct capture Pellet,Adenovirus,16.74,R3,VDCP,16.74,Endogenous
Vac. direct capture Pellet,RotavirusA,0.535,R3,VDCP,0.535,Endogenous
Vac. direct capture,Norovirus,928.7,R1,VDC,928.7,Endogenous
Vac. direct capture,RSV,0.105,R1,VDC,0.105,Endogenous
Vac. direct capture,Enterovirus,18.26,R1,VDC,18.26,Endogenous
Vac. direct capture,Norovirus,1018.3,R2,VDC,1018.3,Endogenous
Vac. direct capture,RSV,0.053,R2,VDC,0.053,Endogenous
Vac. direct capture,Enterovirus,14.65,R2,VDC,14.65,Endogenous
Vac. direct capture,Norovirus,977.2,R3,VDC,977.2,Endogenous
Vac. direct capture,RSV,0.054,R3,VDC,0.054,Endogenous
